round,agent,action,clicks,payout,profit,timestamp
31,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.612285
31,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.612355
31,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.612426
31,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.612497
31,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.612562
32,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.612630
32,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.612670
32,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.612734
32,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.612797
32,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.612860
33,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.612909
33,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.612973
33,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.613036
33,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.613099
33,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.613162
34,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.613226
34,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.613289
34,lelouch,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.613328
34,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.613391
34,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.613455
35,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.613519
35,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.613581
35,lelouch,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.613639
35,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.613702
35,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.613766
36,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.613830
36,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.613898
36,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.613960
36,senku,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.614016
36,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.614080
37,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.614144
37,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.614208
37,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.614272
37,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.614334
37,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.614397
38,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.614461
38,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.614524
38,lelouch,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.614566
38,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.614629
38,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.614692
39,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.614756
